abstrak,label
"Al – Qur’an dan Hadist merupakan sumber pedoman hidup umat muslim, begitu juga kitab – kitab ulama sebagai pendukungnya. Sturuktur isinya yang rata - rata menggunakan bahasa Arab, maka mempelajari bahasa Arab sangat dianjurkan dalam agama islam. Kesulitan memahami struktur bahasa Arab terletak dalam menganalisis I’rob nya. Kesalahan dalam menentukan harakat sering kali terjadi, sehingga akan mempengaruhi arti dan juga maknanya. Untuk mengatasi hal ini ilmu nahwu digunakan untuk membantu menentukan identitas kedudukan I’rob dan juga kedudukan harakatnya. Al- Imrithi salah satu kitab tingkat menengah ke atas yang mempelajari ilmu nahwu dalam menentukan identitas I’rob secara baik. Berdasarkan latar belakang tersebut. Penelitian ini dilakukan untuk membangun sistem dalam menentukan kedudukan I’rob yang terdiri dari bentuk, kategori, I’rob dan kedudukan kalimah dengan mengimplementasikan kecerdasan buatan (Artificial Intelligence) khususnya dengan metode pencarian Breadth First Search yang diharapkan mampu mempresentasikan kaidah – kaidah dalam ilmu nahwu kedalam bahasa pemrograman. Mengacu pada hasil pengujian yang peneliti lakukan dengan 50 sampel kalimat sederhana menghasilkan 90 % sistem ini mampu berjalan dengan baik. Serta hasil kuisioner pengujian kegunaan dari 35 responden menyatakan 41,0% sangat setuju, 44,5% setuju dan 14,3% memilih netral bahwa sistem ini dapat membantu mempelajari ilmu nahwu dalam menganalisis kedudukan I’rob pada kalimat bahasa Arab.",AI
"Media sosial dewasa ini menjadi tempat untuk mencurahkan opini dari penggunanya terhadap berbagai hal salah satunya politik. Tema politik yang dalam beberapa waktu lalu menjadi trending di media sosial Twitter adalah tentang Pemilihan Gubernur (Pilgub) DKI Jakarta tahun 2017. Maka, pada penelitian ini akan dilakukan analisis sentimen para pengguna Twitter terhadap para kandidat gubernur di pilgub tersebut. Peneliti menggunakan algoritma K-Nearest Neighbor dengan pembobotan kata TF-IDF dan fungsi Cosine Similarity untuk membangun sistem analisis sentimen. Nilai k dipakai adalah 3,5,7, 9, dan 15. Data Twitter yang diambil adalah sebanyak 2000 data dengan perincian 1500 sebagai data latih dan 500 sebagai data uji. Data diambil dari Twitter menggunakan salah satu package Python yaitu Twitterscraper. Data yang telah diperoleh kemudian akan melewati proses preprocessing terlebih dulu sebelum dilakukan analisis sentimen. Metode Confusion matrix digunakan untuk mengukur kinerja algoritma. Dari metode ini akan diketahui nilai akurasi, presisi, dan recall dari algoritma KNN yang telah diterapkan pada sistem. Berdasarkan hasil pengujian sistem, diperoleh hasil akurasi terbesar adalah sebesar 67,2% ketika nilai k = 5, nilai presisi terbesar adalah 56,94% ketika k = 5, dan recall terbesar 78,24% ketika k = 15.",AI
"Dakwah merupakan salah satu kewajiban yang dibebankan oleh Allah kepada umat muslim. Arus informasi dan teknologi mengalir dengan deras tak terkendali lagi. Hampir di seluruh sektor kehidupan manusia, baik di sektor akademik, pemerintahan, ekonomi, militer, hingga sampai tatanan rumah tangga memanfaatkan perkembangan teknologi informasi tersebut.  Metode penelitian yang digunakan dalam penelitian ini adalah pengembangan sistem, yaitu eksperimen untuk rancang bangun portal m-dakwah yang dapat diakses melaui handphone atau PDA. Aplikasi mobile dakwah dibangun dengan bahasa pemrograman PHP, tag HTML, dan tag WML, serta memanfaatkan database MySQL sebagai database server, dan diimplementasi melalui jaringan GPRS (General Pocket Radio System), sehingga diperlukan sebuah handphone atau PDA yang dilengkapi dengan fasilitas WAP untuk mengakses aplikasi ini.  Aplikasi m-dakwah memiliki kemampuan memberikan kemudahan bagi pengguna untuk memperoleh artikel-artikel islami yang singkat namun dapat mudah dimengerti oleh pembaca, serta dilengkapi dengan fasilitas penghitung zakat yang dapat diakses melalui handphone atau PDA. ",SI
"Penelitian tentang analisis antena Semi Parabolik Grid 2,4 GHz untuk jaringan Wireless LAN dilatarbelakangi banyaknya orang awam yang belum mengerti tentang pemanfaatan teknologi wireless LAN. Dengan adanya penelitian ini diharapkan mampu membantu masyarakat umum dalam memanfaatkan antena wireless dan teknologi jaringan Wireless LAN. Penelitian ini juga dapat dimanfaatkan untuk memberi kemudahan dalam memperoleh informasi tentang antena Wireless LAN.  Penelitian ini menggunakan metode eksperimen. Penulis melakukan beberapa langkah penelitian yaitu kajian literatur, studi kelayakan yang terdiri dari site survey dan dokumentasi site survey, analisis yang meliputi menganalisis jaringan yang tersedia serta menganalisis penggunaan area dan tower, penginstalan, pengujian dan implementasi, evaluasi, dokumentasi serta menyusun buku laporan tugas akhir. Penulis juga mengalami beberapa kendala dalam penelitian antara lain jarak yang jauh antara antena Grid dengan Access Point, konfigurasi yang sering mengalami error serta adanya kelemahan yang terdapat pada antena Grid yang membuat berkurangnya link quality.  Ada beberapa hal yang mempengaruhi kualitas sinyal yang dipancarkan oleh Access Point antara lain : jarak serta penempatan Access Point dan antena Grid, titik fokus dan titik sudut antara Access Point dengan antena Grid, ada tidaknya penghalang atau interferensi serta jenis atau merk Access Point. Selain itu link budget dan fade margin juga sangat berpengaruh terhadap reliabilitas wireless link. Antena Semi Parabolik Grid 2,4 GHz mampu dikoneksikan dengan Access Point pada jarak tertentu dengan kekuatan sinyal yang berbanding lurus dengan jarak. ",Jaringan
"Setiap orang dalam melakukan perjalanan pasti memilih jarak terpendek untuk mencapai tujuannya, karena dapat menghemat waktu, tenaga serta bahan bakar tentunya. Kesulitan menentukan jarak terpendek timbul karena terdapat banyak jalur alternatif yang ada dari suatu daerah ke daerah lain dan juga memungkinkan memilih jalur alternatif apabila terdapat suatu hambatan pada jalur terpendek utama.  Penelitian ini menggunakan algoritma dijkstra untuk menemukan jarak terpendek dengan menghitung jarak terpendek dari titik awal ke masing-masing titik yang ditemui. Dijkstra merupakan algoritma dengan prinsip greedy yang memecahkan masalah lintasan terpendek untuk sebuah graf dengan bobot sisi yang tidak negatif. Greedy adalah strategi yang memecahkan masalah langkah demi langkah pada setiap langkah dan hanya memikirkan solusi terbaik yang akan diambil pada setiap langkah tanpa memikirkan konsekuensi ke depan. Implementasi pada sistem ini menggunakan bahasa pemrograman Delphi7, database MySQL dengan koneksi ODBC.  Sistem penentuan jarak terpendek dan waktu tempuh ini memberikan kemudahan bagi user untuk menemukan jarak terpendek dan jarak terpendek alternatif apabila terjadi hambatan serta mengetahui waktu tempuh. Sistem ini menampilkan sebuah hasil jarak terpendek dan jarak terpendek alternatif baik melalui pemanggilan graf yang telah tersimpan dalam database atau membuat graf sendiri, kemudian memasukkan titik awal pencarian dan titik akhir pencarian maka sistem ini akan melakukan perhitungan dengan algoritma dijkstra sesuai dengan titik awal pencarian dan titik akhir pencarian yang telah dimasukkan sebelumnya. Untuk mengetahui waktu tempuh dari jarak terpendek yang telah didapat hanya dengan memasukan kecepatan maka sistem akan melakukan perhitungan dari jarak terpendek yang telah didapat dibagi dengan kecepatan yang telah di masukan. ",AI
"Pemanfaatan teknologi wireless saat ini telah banyak digunakan ISP (Internet Service Provider) untuk memberikan layanan akses internet kepada pelanggannya. Untuk membangun suatu jaringan wireless maka diperlukan radio Wireless LAN yang tersebar diberbagai tempat. Terkadang radio WLAN akan mengalami hang ataupun overload yang menyebabkan suatu koneksi mati dan perlu dilakukan proses restart agar normal kembali. Jauhnya jarak radio WLAN degan ISP akan mengakibatkan lamanya proses restrat karena harus mendatangi tempat radio WLAN tersebut. Hal ini yang menjadikan perlunya sebuah sistem kontrol untuk mematikan dan menghidupkan (restart) radio WLAN dari jarak jauh. Perancangan dan pembuatan sistem kontrol jarak jauh radio WLAN ini berbasis pada mikrokontroler dan layanan SMS jaringan GSM. Layanan SMS digunakan untuk mengirimkan kode perintah yang ditujukan pada mikrokontroler. Mikrokontroler berfungsi sebagai pusat pengendali sistem yang akan mengontrol semua rangkaian yang terhubung dengannya. Relay yang berfungsi sebagai saklar untuk menghidupkan dan mematikan radio WLAN akan dikontrol mikrokontroler sesuai dengan kode yang diterima handphone server melalui layanan SMS. Selain menerima kode perintah, handphone server juga akan mengirimkan SMS info kepada user pengirim perintah. Agar berfungsi sesuai sistem yang diinginkan, dalam mikrokontroler diberi suatu program yang berekstensi “.hex”. File “.hex” ini adalah hasil compile menggunakan program BASCOM-AVR. Hasil yang didapatkan dari sistem kontrol jarak jauh radio WLAN ini adalah sistem mampu membantu proses restart radio WLAN yang berada jauh dari pihak pengguna. Sistem mampu menghidupkan dan mematikan relay yang terhubung dengan radio WLAN sesuai kode perintah yang dikirimkan melalui SMS. Pengujian fungsionalitas juga memberikan hasil yang menilai sistem berfungsi dengan baik. Kata Kunci: Mikrokontroler, Sistem Kontrol Jarak Jauh, SMS, Bascom-Avr.  ",Jaringan
"Quality of Service  ( QoS ) yang baik menjadi hal yang sangat diperlukan bagi jaringan wireless, semakin banyak  dan bervariasinya  aplikasi  yang  dapat dilayani  oleh  suatu  jaringan  berpengaruh  pada penggunaan Bandwidth dalam jaringan tersebut. Manajemen bandwidth sangat berperan dalam mengatur jenis aplikasi yang bisa mengakses link yang ada. QoS dengan Algoritma Hierarchical Token Bucket  ( HTB )  sebagai salah satu  manajemen bandwidth optimal diterapkan di dalam sistem operasi mikrotik. Manajemen bandwith dengan HTB memiliki keakuratan yang tinggi. Hierarchical Token Bucket  ( HTB ) mampu membagi bandwidth secara merata dan optimal untuk setiap client ataupun aplikasi.HTB memiliki fitur link-sharing sehingga suatu client akan mendapatkan alokasi bandwidth secara penuh pada saat client yang lain dalam keadaan idle. Penelitian ini dilakukan dengan menggunakan beberapa tahapan antara lain perancangan topologi yang disesuaikan dengan konsep Hierarchical tocken Bucket. Pembagian bandwidth dilakukan dengan menandai koneksi upload dan download serta menandai prerouting packet dan postrouting packet yang kemudian di arahkan ke queue tree untuk dilakukan pembatasan. Pengujian sistem disini menggunakan dua tahap yakni alpha test dengan mencoba melakukan download dan upload, setelah itu dihitung troughput, jitter dan delay. Sedangkan pada tahap beta test dilakukan menggunakan kuesioner yang ditujukan kepada administrasi jaringan, praktisi jaringan dan siswa yang mempelajari jaringan komputer. Berdasarkan hasil pengujian yang dilakukan dapat disimpulkan bahwa dari banyaknya penguji sebagian besar setuju dengan hasil pengujian sehingga dapat di ambil kesimpulan bahwa sistem dapat berjalan dengan baik. kata kunci : Bandwidth Manager, HTB, Mikrotik, Quality of Service, Wireless",RPL
"Perpustakaan SMK Negeri Jenawi masih menggunakan database manual yang semua proses transaksinya  ditulis pada kertas. Hal tersebut membuat proses bisnis yang berjalan menjadi lambat dan kurang efektif serta kurang efisien, sirkulasi peminjaman dan pengembalian buku berjalan dengan lambat. Permasalahan sirkulasi juga diakibatkan karena pengembalian buku yang sering terlambat. Penelitian ini bertujuan untuk membangun aplikasi perpustakaan yang dapat digunakan untuk mengolah data perpustakaan seperti data anggota, data peminjaman dan pengembalian buku, perhitungan transaksi pembayaran denda keterlambatan pengembalian buku, pencarian buku yang dibutuhkan serta aplikasi yang dapat secara otomatis mengirim SMS sebagai pengingat jadwal pengembalian buku. Pengembangan sistem dalam penelitian ini menggunakan metodelogi SDLC  ( Sistem Development Life Cycle ) yang terdiri dari tahap analisis dan pengumpulan data, tahap desain, tahap implementasi dan tahap pengujian sistem. Bahasa pemrograman yang digunakan adalah Delphi dengan database Oracle Database 10g Express Edition. SMS Gateway yang digunakan untuk pengingat jadwal pengembalian buku menggunakan modem GSM dengan perintah AT Command. Penelitian ini menghasilkan aplikasi Aplikasi Perpustakaan Dan Pengingat Jadwal Pengembalian Buku Via Short Message Service  ( SMS ) yang dapat digunaan untuk pengolahan data anggota, data peminjaman dan pengembalian buku, perhitungan denda keterlambatan pengembalian buku, pencarian buku dan dapat mengirimkan SMS sebagai pengingat jadwal pengembalian buku. Berdasarkan hasil kuisioner pengujian, aplikasi yang dibangun menunjukkan tingkat keberhasilan sebesar 85%. Kata kunci : Perpustakaan, Delphi, Oracle, SMS, AT Command.",SI
"Bahan aktif ekstrak kunyit/kurkumin yang telah diformulasikan menggunakan kitosan cross linked TPP  menggunakan teknologi nanoenkapsulasi diharapkan dapat dipakai sebagai FEED ADDITIVE dalam meningkatkan kecernaan pakan serta energi metabolis. Namun sebelumnya harus dipilih formula yang paling baik yaitu yang mempunyai jumlah sel kurkumin paling banyak.  Proses-proses yang terdapat pada tahap preprocessing antara lain grayscalling, kontras, segmentasi, dan thresholding. Tahap processing dilakukan dengan operasi morfologi closing diikuti oleh opening. Sedangkan tahap analizing dilakukan dengan Connected Component Analizing untuk pelabelan dan penghitungan.  Hasil dari pengujian menunjukkan bahwa metode pengolahan citra mikroskopis yang tepat dan optimal adalah dengan proses grayscalling, kontras, segmentasi, thresholding, morfologi opening dan closing, labeling serta counting. Hasil pengujian terhadap citra kurkumin mencapai nilai keakuratan tertinggi yaitu  95,31% pada citra kurkumin dengan komposisi 121 yang ukurannya 50 nm.    Kata kunci : Pengolahan Citra Mikroskopis, Kurkumin, Operasi Morfologi,  Connected Component Labeling.",AI
" ABSTRAK   Kebutuhan masyarakat akan transfer data secara cepat dan tepat semakin meningkat, oleh sebab itu teknologi yang berhubungan dengan kebutuhan tersebut juga semakin berkembang. Berbagai provider berlomba-lomba mengeluarkan jenis teknologi baik Global System for Mobile communication (GSM) ataupun Code Division Multiple Access (CDMA) yang dapat menunjang kebutuhan tersebut.  Penelitian ini menitik beratkan pada metode pengujian langsung terhadap kualitas dari masing-masing jenis teknologi yaitu GSM dengan menggunakan modem ponsel Nokia N70 Music Edition dan teknologi CDMA dengan menggunakan modem Mobi Mobile-8, dengan menguji beberapa parameter seperti throughput, jitter, packet loss, dan latency.  Hasil pengujian yang diperoleh teknologi CDMA lebih efisien dalam hal proses trasmisi data terhadap suatu file yang di-download. Hal ini terbukti dengan meningkatnya rata-rata throughput pada file yang di-download dari website topshareware.com yaitu sebesar dua kali lipat 63,8 Kbps dengan range waktu pada pukul 21.00-00.00 WIB, menghasilkan rata-rata kategori jitter  quot;bagus quot;, tidak terjadi packet loss pada file yang di-download dari website softpedia.com dan nilai jitter terkecil terjadi sebanyak 28 kali/ms pada file yang di-dowload dari website filehippo.com terhadap range waktu 09.00-12.00 WIB. div ",RPL
